effect_mult,effect_ns,trials,detections,detection_rate,ci_low,ci_high,median_samples,median_time_ms
0.0000,0.0,100,0,0.0000,0.0000,0.0362,3500,322
0.5000,50.0,100,5,0.0500,0.0215,0.1118,3500,335
1.0000,100.0,100,94,0.9400,0.8752,0.9722,3500,302
1.5000,150.0,100,93,0.9300,0.8625,0.9657,3500,336
2.0000,200.0,100,98,0.9800,0.9300,0.9945,3500,343
5.0000,500.0,100,99,0.9900,0.9455,0.9982,3500,311
