trial,test_name,test_type,injected_effect_ns,attacker_model,decision,leak_probability,shift_ns,tail_ns,ci_low_ns,ci_high_ns,samples_per_class,elapsed_ms
0,bayesian_calibration_iteration_adjacent_network_1.0x,unknown,100,AdjacentNetwork,fail,1.000000,107.93,-0.79,106.60,109.27,3500,
1,bayesian_calibration_iteration_adjacent_network_1.0x,unknown,100,AdjacentNetwork,fail,1.000000,111.50,-1.90,110.71,112.33,3500,
2,bayesian_calibration_iteration_adjacent_network_1.0x,unknown,100,AdjacentNetwork,fail,1.000000,106.86,1.16,104.96,108.77,3500,
3,bayesian_calibration_iteration_adjacent_network_1.0x,unknown,100,AdjacentNetwork,fail,1.000000,107.01,-1.19,103.96,110.07,3500,
4,bayesian_calibration_iteration_adjacent_network_1.0x,unknown,100,AdjacentNetwork,fail,1.000000,110.51,0.73,109.34,111.69,3500,
5,bayesian_calibration_iteration_adjacent_network_1.0x,unknown,100,AdjacentNetwork,fail,1.000000,113.39,0.90,109.51,117.28,3500,
6,bayesian_calibration_iteration_adjacent_network_1.0x,unknown,100,AdjacentNetwork,fail,1.000000,109.56,3.26,107.06,112.17,3500,
7,bayesian_calibration_iteration_adjacent_network_1.0x,unknown,100,AdjacentNetwork,fail,1.000000,109.09,2.44,107.16,111.08,3500,
8,bayesian_calibration_iteration_adjacent_network_1.0x,unknown,100,AdjacentNetwork,fail,1.000000,110.50,0.35,109.43,111.58,3500,
9,bayesian_calibration_iteration_adjacent_network_1.0x,unknown,100,AdjacentNetwork,fail,1.000000,105.01,0.38,103.71,106.31,3500,
10,bayesian_calibration_iteration_adjacent_network_1.0x,unknown,100,AdjacentNetwork,fail,1.000000,111.95,0.89,110.60,113.30,3500,
11,bayesian_calibration_iteration_adjacent_network_1.0x,unknown,100,AdjacentNetwork,fail,1.000000,108.77,-0.22,107.65,109.89,3500,
12,bayesian_calibration_iteration_adjacent_network_1.0x,unknown,100,AdjacentNetwork,fail,1.000000,100.97,1.52,99.49,102.46,3500,
13,bayesian_calibration_iteration_adjacent_network_1.0x,unknown,100,AdjacentNetwork,fail,1.000000,104.56,0.18,102.47,106.65,3500,
14,bayesian_calibration_iteration_adjacent_network_1.0x,unknown,100,AdjacentNetwork,fail,1.000000,105.74,-1.68,104.44,107.07,3500,
