effect_mult,effect_ns,trials,detections,detection_rate,ci_low,ci_high,median_samples,median_time_ms
0.0000,0.0,100,0,0.0000,0.0000,0.0362,3500,323
1.0000,100.0,100,88,0.8800,0.8019,0.9300,3500,300
2.0000,200.0,100,88,0.8800,0.8019,0.9300,3500,315
