mu_mult,phi,trials,rejections,rejection_rate,ci_low,ci_high
0.00,-0.40,100,0,0.0000,0.0000,0.0362
0.00,0.00,100,0,0.0000,0.0000,0.0362
0.00,0.40,100,0,0.0000,0.0000,0.0362
1.00,-0.40,100,100,1.0000,0.9638,1.0000
1.00,0.00,100,97,0.9700,0.9155,0.9897
1.00,0.40,100,97,0.9700,0.9155,0.9897
2.00,-0.40,100,100,1.0000,0.9638,1.0000
2.00,0.00,100,100,1.0000,0.9638,1.0000
2.00,0.40,100,97,0.9700,0.9155,0.9897
