mu_mult,phi,trials,rejections,rejection_rate,ci_low,ci_high
0.00,-0.40,100,0,0.0000,0.0000,0.0362
0.00,0.00,100,0,0.0000,0.0000,0.0362
0.00,0.40,100,0,0.0000,0.0000,0.0362
1.00,-0.40,100,95,0.9500,0.8882,0.9785
1.00,0.00,100,98,0.9800,0.9300,0.9945
1.00,0.40,100,100,1.0000,0.9638,1.0000
2.00,-0.40,100,100,1.0000,0.9638,1.0000
2.00,0.00,100,100,1.0000,0.9638,1.0000
2.00,0.40,100,100,1.0000,0.9638,1.0000
