source,regime,label,class_name,n,n_unique,quantization_limited,rho1,rho5,rho10,p_gt_3sigma,p_gt_5sigma,p999_sigmas,robust_sigma,iact,pw_mhat,pw_block_stationary,pw_block_circular
synthetic,N/A,synth-null-rho0p0-seed0,baseline,10000,9868,False,0.006852844140773396,-0.008781218454432329,-0.005951508649790428,0.0051,0.0001,3.740689031472042,97002.8115,1.0137056882815467,1,1.2227170768788698,1.3996616525164194
synthetic,N/A,synth-null-rho0p0-seed0,test,10000,9859,False,0.0003034021817060278,0.007855088208209385,-0.014622074835245939,0.0059,0.0,3.718752814813083,98884.2309,1.0313135415259462,1,0.1543559928115009,0.1766935033947848
synthetic,N/A,synth-null-rho0p0-seed1,baseline,10000,9884,False,-0.01049206915455497,0.01748003525655654,0.002934069809617649,0.0043,0.0,3.574815378287043,96982.79639999999,1.0,1,1.6623951938156298,1.902967455112958
synthetic,N/A,synth-null-rho0p0-seed1,test,10000,9864,False,0.012131750729138054,0.01742657439478901,0.01219342468780886,0.0033,0.0,3.678887307979616,101091.8223,1.0242635014582762,1,1.7770290100047799,2.0341904171829186
synthetic,N/A,synth-null-rho0p0-seed2,baseline,10000,9878,False,0.0016848826886518915,-0.01893132960327759,0.0035566787868271535,0.0053,0.0,3.5678691921154715,98017.6512,1.0033697653773035,1,0.4831616277350668,0.5530819967235818
synthetic,N/A,synth-null-rho0p0-seed2,test,10000,9851,False,0.006909705296295215,0.006806062000405803,0.009586458878036847,0.005,0.0001,3.6633492500013776,98638.8606,1.0356360621714011,1,1.2293794397539148,1.407288154188542
synthetic,N/A,synth-null-rho0p0-seed3,baseline,10000,9860,False,0.003378920473926471,-0.00840352036835693,0.005118970883758105,0.0045,0.0,3.5341602208883947,97859.01299999999,1.006757840947853,1,0.7666349779920802,0.8775779781470943
synthetic,N/A,synth-null-rho0p0-seed3,test,10000,9835,False,0.00246838930319195,-0.0015114256704170386,0.010533562155888437,0.0037,0.0,3.9382976608180558,98814.5487,1.028543527826074,1,0.6225916241403363,0.7126894994478538
synthetic,N/A,synth-null-rho0p0-seed4,baseline,10000,9840,False,-0.0007411739746103359,-0.004098471223102986,-0.002680864562479773,0.0051,0.0,3.6830654451500524,98780.44889999999,1.0,1,0.28036875084711194,0.32094210226157555
synthetic,N/A,synth-null-rho0p0-seed4,test,10000,9850,False,-0.0046031614148831545,-0.01765415871235463,-0.00989718289859516,0.0038,0.0,3.7126395975695683,99704.1087,1.03666258889568,1,0.9522156513562129,1.090014818089655
synthetic,N/A,synth-null-rho0p3-seed0,baseline,10000,9893,False,0.14917948835384592,-0.0022681864531751135,-0.011372570623510558,0.0069,0.0001,3.8622431953720855,140999.7078,1.366168612839083,1,8.08281953978195,9.252518647176766
synthetic,N/A,synth-null-rho0p3-seed0,test,10000,9888,False,0.156084461952941,0.014176293480792954,0.012962023379039423,0.0055,0.0,3.8047468635800805,138523.0245,1.5068998874516222,2,10.728998210109376,12.281637059441408
synthetic,N/A,synth-null-rho0p3-seed1,baseline,10000,9899,False,0.1478939212297971,0.020689403907104324,0.0007574632743121538,0.0066,0.0001,3.880326802111731,137912.19329999998,1.519976481489811,1,8.046943383793161,9.211450700448333
synthetic,N/A,synth-null-rho0p3-seed1,test,10000,9890,False,0.13146179934560354,-0.00481976439475592,0.004653473251024941,0.0063,0.0002,3.895824049115965,138673.5084,1.4105288158713485,2,11.36872217057191,13.013938188285497
synthetic,N/A,synth-null-rho0p3-seed2,baseline,10000,9881,False,0.14643705609251426,0.008704291891188976,-0.00389001086466891,0.0056,0.0001,3.661997564453234,141191.7045,1.3870983206779575,1,8.006016799690084,9.164601456726484
synthetic,N/A,synth-null-rho0p3-seed2,test,10000,9898,False,0.14149857219812279,-0.007404346833338328,-0.012116458851843492,0.0047,0.0001,3.773504071420169,137661.6339,1.3756351308560015,2,10.35243877591349,11.850584111949551
synthetic,N/A,synth-null-rho0p3-seed3,baseline,10000,9906,False,0.1594630431237366,-0.0027246724679716025,0.007633916483019072,0.0055,0.0002,3.9417262052953017,141826.9986,1.4487726368553622,2,11.545347618330212,13.216123853931784
synthetic,N/A,synth-null-rho0p3-seed3,test,10000,9882,False,0.1409289768379272,0.00636124090607408,0.005452576267445497,0.0064,0.0003,3.94875928043353,137174.5998,1.4645145894572709,2,11.614959030422456,13.295809028798024
synthetic,N/A,synth-null-rho0p3-seed4,baseline,10000,9896,False,0.13946526617901833,-0.01107917738771573,0.004472352925771104,0.0079,0.0002,3.9466266160134875,138708.34949999998,1.4086312513394894,2,11.180363695374043,12.798321559020868
synthetic,N/A,synth-null-rho0p3-seed4,test,10000,9895,False,0.15442855859057278,-0.00944335543974559,0.0031966953107196326,0.0082,0.0002,4.192101272734871,138283.5846,1.4269156076816043,2,11.272005979541403,12.903225786927363
synthetic,N/A,synth-null-rho0p6-seed0,baseline,10000,9917,False,0.29010257566680603,0.026994879511067618,-0.005792250567133452,0.0071,0.0002,3.8946640339477128,140113.8543,2.2157785220738155,4,22.194927748799348,25.406849906492774
