timestamp,budget_label,iteration,seed,samples_requested,samples_used,timer_name,timer_resolution_ns,collection_ms,analysis_ms,verdict,leak_probability,effect_ns,ci_lo_ns,ci_hi_ns,dependence_length,effective_sample_size,stationarity_ratio,calibration_samples,attacker_model,threshold_ns,pool_size
1776897922,1.0x,9,36288486214591646,62000,62000,rdtsc,0.2226,23979,3052,fail,0.978500,486.064,143.766,769.056,1056,58,1.0000,62000,AdjacentNetwork,100.000,10
1776897924,1.0x,10,370651428744761926,62000,62000,rdtsc,0.2227,23859,3070,inconclusive,0.920750,291.982,62.123,518.777,879,70,1.0000,62000,AdjacentNetwork,100.000,10
1776897926,1.0x,11,1115181727906357009,62000,62000,rdtsc,0.2226,24420,2933,inconclusive,0.182000,83.097,42.070,124.239,1056,58,1.0000,62000,AdjacentNetwork,100.000,10
1776897926,1.0x,12,477545167163624712,62000,62000,rdtsc,0.2227,24271,2886,inconclusive,0.380250,175.122,7.972,502.223,1056,58,1.0000,62000,AdjacentNetwork,100.000,10
1776897949,1.0x,13,500354015894497112,62000,62000,rdtsc,0.2227,23497,2823,inconclusive,0.502250,293.051,26.616,656.074,65,953,1.0000,62000,AdjacentNetwork,100.000,10
1776897953,1.0x,14,780087849091055205,62000,62000,rdtsc,0.2226,24699,3765,fail,0.997500,182.770,137.567,226.068,311,199,1.0000,62000,AdjacentNetwork,100.000,10
1776897953,1.0x,15,8765121486464919,62000,62000,rdtsc,0.2227,24559,2980,inconclusive,0.455250,135.885,20.139,270.650,1056,58,1.0000,62000,AdjacentNetwork,100.000,10
1776897954,1.0x,16,220694530848822395,62000,62000,rdtsc,0.2227,24588,2976,inconclusive,0.019500,202.023,9.892,579.861,1056,58,1.0000,62000,AdjacentNetwork,100.000,10
1776897976,1.0x,17,117027092509192947,62000,62000,rdtsc,0.2226,24677,3054,inconclusive,0.524000,158.498,10.747,382.878,1056,58,1.0000,62000,AdjacentNetwork,100.000,10
1776897980,1.0x,18,544409675584396124,62000,62000,rdtsc,0.2226,23700,2886,inconclusive,0.905000,132.144,81.098,181.882,257,241,1.0000,62000,AdjacentNetwork,100.000,10
1776897981,1.0x,19,829639986296504335,62000,62000,rdtsc,0.2226,24476,3053,inconclusive,0.658750,507.820,66.060,978.600,15,4133,1.0000,62000,AdjacentNetwork,100.000,10
1776897982,1.0x,20,846752189815114509,62000,62000,rdtsc,0.2226,24721,2992,inconclusive,0.328000,154.740,14.547,339.230,1056,58,1.0000,62000,AdjacentNetwork,100.000,10
1776898003,1.0x,1,469478278150961870,62000,62000,rdtsc,0.2227,23727,2849,inconclusive,0.639000,168.412,17.465,361.808,1056,58,1.0000,62000,AdjacentNetwork,100.000,100
1776898007,1.0x,2,444604846706474173,62000,62000,rdtsc,0.2226,24343,2970,fail,1.000000,292.082,248.655,333.385,1056,58,1.0000,62000,AdjacentNetwork,100.000,100
1776898007,1.0x,3,983534720395399266,62000,62000,rdtsc,0.2227,23557,2752,fail,1.000000,182.293,156.096,207.892,1056,58,1.0000,62000,AdjacentNetwork,100.000,100
1776898009,1.0x,4,1048601086323250919,62000,62000,rdtsc,0.2226,24421,2782,inconclusive,0.532000,149.358,8.136,388.392,1056,58,1.0000,62000,AdjacentNetwork,100.000,100
1776898030,1.0x,5,895549079363533954,62000,62000,rdtsc,0.2227,23685,2900,inconclusive,0.607000,437.434,44.406,942.269,21,2952,1.0000,62000,AdjacentNetwork,100.000,100
1776898033,1.0x,6,74007519459396026,62000,62000,rdtsc,0.2226,23607,2784,inconclusive,0.087750,149.078,11.247,347.179,24,2583,1.0000,62000,AdjacentNetwork,100.000,100
1776898035,1.0x,7,1029415811909035259,62000,62000,rdtsc,0.2227,24456,2994,fail,1.000000,403.876,367.512,438.767,1056,58,1.0000,62000,AdjacentNetwork,100.000,100
1776898036,1.0x,8,1000904084550277567,62000,62000,rdtsc,0.2227,24511,3041,inconclusive,0.036250,140.376,14.736,299.978,20,3100,1.0000,62000,AdjacentNetwork,100.000,100
1776898057,1.0x,9,1143288332124752427,62000,62000,rdtsc,0.2227,24468,3035,inconclusive,0.183000,305.997,43.074,605.574,20,3100,1.0000,62000,AdjacentNetwork,100.000,100
1776898060,1.0x,10,583290236340740402,62000,62000,rdtsc,0.2227,23874,3045,fail,1.000000,307.694,257.461,355.115,725,85,1.0000,62000,AdjacentNetwork,100.000,100
1776898061,1.0x,11,10148541705013566,62000,62000,rdtsc,0.2227,23747,2864,inconclusive,0.089750,229.907,16.545,547.961,15,4133,1.0000,62000,AdjacentNetwork,100.000,100
1776898064,1.0x,12,366430527617356917,62000,62000,rdtsc,0.2226,24628,3091,inconclusive,0.570000,190.089,8.787,552.548,1056,58,1.0000,62000,AdjacentNetwork,100.000,100
1776898084,1.0x,13,172625955726712367,62000,62000,rdtsc,0.2226,24502,2915,inconclusive,0.485000,142.002,7.807,373.050,1056,58,1.0000,62000,AdjacentNetwork,100.000,100
1776898087,1.0x,14,515233588831911666,62000,62000,rdtsc,0.2226,23941,2951,inconclusive,0.210750,89.714,60.887,118.502,1056,58,1.0000,62000,AdjacentNetwork,100.000,100
1776898088,1.0x,15,958753013910868904,62000,62000,rdtsc,0.2227,23918,2812,fail,0.979750,191.201,124.853,253.939,1056,58,1.0000,62000,AdjacentNetwork,100.000,100
1776898091,1.0x,16,419916514487527644,62000,62000,rdtsc,0.2227,24121,2895,inconclusive,0.106250,179.848,7.427,555.068,1056,58,1.0000,62000,AdjacentNetwork,100.000,100
1776898111,1.0x,17,728848956816812200,62000,62000,rdtsc,0.2226,24119,2853,inconclusive,0.008000,187.463,9.127,521.576,15,4133,1.0000,62000,AdjacentNetwork,100.000,100
1776898114,1.0x,18,719978488162208346,62000,62000,rdtsc,0.2226,24271,3006,inconclusive,0.357750,155.365,8.342,412.454,1056,58,1.0000,62000,AdjacentNetwork,100.000,100
1776898115,1.0x,19,142971197451126367,62000,62000,rdtsc,0.2227,24360,2854,fail,1.000000,319.719,274.087,362.765,1056,58,1.0000,62000,AdjacentNetwork,100.000,100
1776898118,1.0x,20,501704817766671446,62000,62000,rdtsc,0.2227,24013,3017,inconclusive,0.119500,210.992,10.490,590.916,1056,58,1.0000,62000,AdjacentNetwork,100.000,100
1776898138,1.0x,1,395420977352570312,62000,62000,rdtsc,0.2227,24062,2843,inconclusive,0.574000,203.837,11.093,536.595,1056,58,1.0000,62000,AdjacentNetwork,100.000,1000
1776898142,1.0x,2,560227162220564437,62000,62000,rdtsc,0.2227,24228,3035,fail,1.000000,689.664,659.877,718.547,1056,58,1.0000,62000,AdjacentNetwork,100.000,1000
1776898142,1.0x,3,694651472983452534,62000,62000,rdtsc,0.2226,24151,2705,inconclusive,0.040250,307.469,25.099,718.650,1056,58,1.0000,62000,AdjacentNetwork,100.000,1000
1776898146,1.0x,4,320161625793385197,62000,62000,rdtsc,0.2227,24382,3119,fail,1.000000,608.373,551.771,661.307,1056,58,1.0000,62000,AdjacentNetwork,100.000,1000
1776898166,1.0x,5,748157908169293301,62000,62000,rdtsc,0.2227,24655,3104,inconclusive,0.643750,350.752,60.961,652.455,36,1722,1.0000,62000,AdjacentNetwork,100.000,1000
1776898170,1.0x,6,130557521811117259,62000,62000,rdtsc,0.2226,24842,3367,inconclusive,0.310750,171.638,12.528,402.842,1056,58,1.0000,62000,AdjacentNetwork,100.000,1000
1776898170,1.0x,7,90200112967612453,62000,62000,rdtsc,0.2226,24421,3418,fail,0.999500,311.843,221.626,393.690,1056,58,1.0000,62000,AdjacentNetwork,100.000,1000
1776898172,1.0x,8,678030164355937760,62000,62000,rdtsc,0.2227,23343,2821,inconclusive,0.882500,179.823,48.003,312.433,1056,58,1.0000,62000,AdjacentNetwork,100.000,1000
1776898194,1.0x,9,544779225362211171,62000,62000,rdtsc,0.2227,24759,3007,inconclusive,0.032000,244.679,20.257,556.276,1056,58,1.0000,62000,AdjacentNetwork,100.000,1000
1776898197,1.0x,11,714550810203089884,62000,62000,rdtsc,0.2226,23690,2919,pass,0.012500,62.588,31.779,93.940,561,110,1.0000,62000,AdjacentNetwork,100.000,1000
1776898197,1.0x,10,712837231911347827,62000,62000,rdtsc,0.2226,24309,2913,inconclusive,0.786000,534.198,92.313,938.131,18,3444,1.0000,62000,AdjacentNetwork,100.000,1000
1776898198,1.0x,12,247643173762752382,62000,62000,rdtsc,0.2226,23711,2831,inconclusive,0.432750,122.838,5.719,344.155,1056,58,1.0000,62000,AdjacentNetwork,100.000,1000
1776898222,1.0x,13,657822429871721167,62000,62000,rdtsc,0.2227,24488,3308,inconclusive,0.239250,299.701,27.005,671.846,15,4133,1.0000,62000,AdjacentNetwork,100.000,1000
1776898224,1.0x,14,507023116931590839,62000,62000,rdtsc,0.2227,24443,3297,pass,0.035250,64.130,24.890,103.769,1056,58,1.0000,62000,AdjacentNetwork,100.000,1000
1776898225,1.0x,15,658352989007498167,62000,62000,rdtsc,0.2227,24694,3454,inconclusive,0.013250,189.810,9.104,539.293,27,2296,1.0000,62000,AdjacentNetwork,100.000,1000
1776898226,1.0x,16,59779672248171895,62000,62000,rdtsc,0.2226,24436,3134,inconclusive,0.443500,186.428,28.546,364.068,96,645,1.0000,62000,AdjacentNetwork,100.000,1000
1776898249,1.0x,17,190795684313128806,62000,62000,rdtsc,0.2227,24346,3252,fail,1.000000,247.358,205.911,286.955,36,1722,1.0000,62000,AdjacentNetwork,100.000,1000
1776898253,1.0x,19,203573680303019147,62000,62000,rdtsc,0.2227,24502,3371,inconclusive,0.263250,91.253,61.438,120.947,1056,58,1.0000,62000,AdjacentNetwork,100.000,1000
1776898254,1.0x,20,758827336332846551,62000,62000,rdtsc,0.2227,24619,3177,fail,0.996000,139.552,114.933,163.797,1056,58,1.0000,62000,AdjacentNetwork,100.000,1000
1776898254,1.0x,18,915807207505975115,62000,62000,rdtsc,0.2227,26106,3882,inconclusive,0.923250,190.710,92.830,281.823,165,375,1.0000,62000,AdjacentNetwork,100.000,1000
