class,timing_ns
baseline,33170.18869105182
baseline,33210.18891859605
baseline,33230.189032368165
baseline,33190.18880482394
baseline,33180.188747937886
baseline,33190.18880482394
baseline,33190.18880482394
baseline,33200.18886171
baseline,33140.188520393654
baseline,33150.18857727971
baseline,33140.188520393654
baseline,34810.19802036521
baseline,33210.18891859605
baseline,33210.18891859605
baseline,33200.18886171
baseline,33160.18863416577
baseline,33170.18869105182
baseline,33170.18869105182
baseline,33270.1892599124
baseline,33180.188747937886
baseline,33160.18863416577
baseline,33190.18880482394
baseline,33200.18886171
baseline,33150.18857727971
baseline,33190.18880482394
baseline,33200.18886171
baseline,33180.188747937886
baseline,33190.18880482394
baseline,33180.188747937886
baseline,33240.18908925423
baseline,33290.18937368451
baseline,33200.18886171
baseline,37500.213322714604
baseline,33230.189032368165
baseline,33180.188747937886
baseline,33200.18886171
baseline,33160.18863416577
baseline,33210.18891859605
baseline,33210.18891859605
baseline,33190.18880482394
baseline,33210.18891859605
baseline,33190.18880482394
baseline,33270.1892599124
baseline,33200.18886171
baseline,33230.189032368165
baseline,33160.18863416577
baseline,33280.18931679845
baseline,33220.18897548211
baseline,33190.18880482394
baseline,33190.18880482394
baseline,33220.18897548211
baseline,33190.18880482394
baseline,33200.18886171
baseline,33250.189146140285
baseline,33190.18880482394
baseline,33160.18863416577
baseline,33180.188747937886
baseline,33160.18863416577
baseline,33180.188747937886
baseline,33220.18897548211
baseline,33150.18857727971
baseline,37440.21298139826
baseline,33180.188747937886
baseline,33190.18880482394
baseline,33200.18886171
baseline,33200.18886171
baseline,33160.18863416577
baseline,33160.18863416577
baseline,33190.18880482394
baseline,33170.18869105182
baseline,33200.18886171
baseline,34770.19779282098
baseline,33180.188747937886
baseline,33210.18891859605
baseline,33180.188747937886
baseline,33210.18891859605
baseline,33120.18840662154
baseline,33190.18880482394
baseline,33150.18857727971
baseline,33210.18891859605
baseline,33150.18857727971
baseline,33210.18891859605
baseline,33240.18908925423
baseline,33220.18897548211
baseline,33220.18897548211
baseline,33190.18880482394
baseline,33190.18880482394
baseline,33170.18869105182
baseline,33230.189032368165
baseline,33170.18869105182
baseline,33170.18869105182
baseline,33200.18886171
baseline,33190.18880482394
baseline,33210.18891859605
baseline,33160.18863416577
baseline,33180.188747937886
baseline,33220.18897548211
baseline,33220.18897548211
baseline,33160.18863416577
baseline,37440.21298139826
baseline,33230.189032368165
baseline,33170.18869105182
baseline,33190.18880482394
baseline,33170.18869105182
baseline,33200.18886171
baseline,33230.189032368165
baseline,33220.18897548211
baseline,33210.18891859605
baseline,33210.18891859605
baseline,33240.18908925423
baseline,33170.18869105182
baseline,33160.18863416577
baseline,33220.18897548211
baseline,33170.18869105182
baseline,33210.18891859605
baseline,33250.189146140285
baseline,33230.189032368165
baseline,33200.18886171
baseline,34920.19864611184
baseline,33220.18897548211
baseline,33230.189032368165
baseline,38010.216223903524
baseline,33180.188747937886
baseline,33160.18863416577
baseline,33190.18880482394
baseline,33150.18857727971
baseline,33230.189032368165
baseline,33190.18880482394
baseline,33230.189032368165
baseline,33160.18863416577
baseline,33190.18880482394
baseline,33230.189032368165
baseline,33200.18886171
baseline,33200.18886171
baseline,33150.18857727971
baseline,33150.18857727971
baseline,33240.18908925423
baseline,33140.188520393654
baseline,38990.22179873713
baseline,33190.18880482394
baseline,33140.188520393654
baseline,33140.188520393654
baseline,33230.189032368165
baseline,33220.18897548211
baseline,33200.18886171
baseline,33240.18908925423
baseline,33240.18908925423
baseline,33200.18886171
baseline,33230.189032368165
baseline,33210.18891859605
baseline,33220.18897548211
baseline,33260.18920302634
baseline,33220.18897548211
baseline,33200.18886171
baseline,33240.18908925423
baseline,33180.188747937886
baseline,33190.18880482394
baseline,33220.18897548211
baseline,33200.18886171
baseline,38860.22105921839
baseline,33150.18857727971
baseline,33220.18897548211
baseline,33160.18863416577
baseline,33170.18869105182
baseline,33150.18857727971
baseline,33190.18880482394
baseline,33150.18857727971
baseline,33150.18857727971
baseline,33170.18869105182
baseline,33170.18869105182
baseline,33230.189032368165
baseline,33170.18869105182
baseline,37500.213322714604
baseline,33140.188520393654
baseline,33230.189032368165
baseline,33160.18863416577
baseline,33230.189032368165
baseline,33210.18891859605
baseline,33180.188747937886
baseline,33140.188520393654
baseline,33220.18897548211
baseline,33140.188520393654
baseline,33190.18880482394
baseline,33210.18891859605
baseline,33160.18863416577
baseline,33130.1884635076
baseline,33230.189032368165
baseline,33160.18863416577
baseline,34800.19796347916
baseline,33240.18908925423
baseline,33170.18869105182
baseline,33170.18869105182
baseline,33180.188747937886
baseline,33200.18886171
baseline,33150.18857727971
baseline,33160.18863416577
baseline,33200.18886171
baseline,33140.188520393654
baseline,33120.18840662154
baseline,33160.18863416577
baseline,33170.18869105182
baseline,33160.18863416577
baseline,33170.18869105182
baseline,33150.18857727971
baseline,33170.18869105182
baseline,33150.18857727971
baseline,33150.18857727971
baseline,33110.18834973548
baseline,33200.18886171
baseline,33190.18880482394
baseline,33200.18886171
baseline,33130.1884635076
baseline,33260.18920302634
baseline,33170.18869105182
baseline,33190.18880482394
baseline,33140.188520393654
baseline,33180.188747937886
baseline,33220.18897548211
baseline,33210.18891859605
baseline,33160.18863416577
baseline,39100.22242448376
baseline,33230.189032368165
baseline,33160.18863416577
baseline,33160.18863416577
baseline,33190.18880482394
baseline,33140.188520393654
baseline,33190.18880482394
baseline,33240.18908925423
baseline,33210.18891859605
baseline,33180.188747937886
baseline,33150.18857727971
baseline,33160.18863416577
baseline,33190.18880482394
baseline,33200.18886171
baseline,33220.18897548211
baseline,33220.18897548211
baseline,33170.18869105182
baseline,33190.18880482394
baseline,33180.188747937886
baseline,33140.188520393654
baseline,33170.18869105182
baseline,33230.189032368165
baseline,33190.18880482394
baseline,33140.188520393654
baseline,33140.188520393654
baseline,33140.188520393654
baseline,33180.188747937886
baseline,33180.188747937886
baseline,33170.18869105182
baseline,33150.18857727971
baseline,33140.188520393654
baseline,33200.18886171
baseline,34680.19728084646
baseline,38160.217077194386
baseline,33200.18886171
baseline,33170.18869105182
baseline,33150.18857727971
baseline,33170.18869105182
baseline,33160.18863416577
baseline,33130.1884635076
baseline,33200.18886171
baseline,33240.18908925423
baseline,33260.18920302634
baseline,33210.18891859605
baseline,33200.18886171
baseline,33130.1884635076
baseline,33310.18948745663
baseline,33200.18886171
baseline,33160.18863416577
baseline,33270.1892599124
baseline,33210.18891859605
baseline,33180.188747937886
baseline,33250.189146140285
baseline,33170.18869105182
baseline,33160.18863416577
baseline,33250.189146140285
baseline,33230.189032368165
baseline,33240.18908925423
baseline,33210.18891859605
baseline,33200.18886171
baseline,33170.18869105182
baseline,33200.18886171
baseline,33240.18908925423
baseline,33200.18886171
baseline,33290.18937368451
baseline,33150.18857727971
baseline,33120.18840662154
baseline,33160.18863416577
baseline,33220.18897548211
baseline,33170.18869105182
baseline,33080.18817907731
baseline,33240.18908925423
baseline,33180.188747937886
baseline,33180.188747937886
baseline,33130.1884635076
baseline,33180.188747937886
baseline,33170.18869105182
baseline,33150.18857727971
baseline,33210.18891859605
baseline,33130.1884635076
baseline,33240.18908925423
baseline,33130.1884635076
baseline,33140.188520393654
baseline,33160.18863416577
baseline,33110.18834973548
baseline,34800.19796347916
baseline,33240.18908925423
baseline,37860.21537061266
baseline,33140.188520393654
baseline,33140.188520393654
baseline,33220.18897548211
baseline,33170.18869105182
baseline,33170.18869105182
baseline,33150.18857727971
baseline,33180.188747937886
baseline,33250.189146140285
baseline,33150.18857727971
baseline,33150.18857727971
baseline,33210.18891859605
baseline,33220.18897548211
baseline,33200.18886171
baseline,33200.18886171
baseline,33160.18863416577
baseline,33140.188520393654
baseline,33200.18886171
baseline,33190.18880482394
baseline,37480.21320894249
baseline,33100.18829284942
baseline,33110.18834973548
baseline,33140.188520393654
baseline,33130.1884635076
baseline,33150.18857727971
baseline,33180.188747937886
baseline,33180.188747937886
baseline,33200.18886171
baseline,33130.1884635076
baseline,33170.18869105182
baseline,33150.18857727971
baseline,33120.18840662154
baseline,33160.18863416577
baseline,33130.1884635076
baseline,33180.188747937886
baseline,33140.188520393654
baseline,33210.18891859605
baseline,33170.18869105182
baseline,37470.213152056436
baseline,33160.18863416577
baseline,33110.18834973548
baseline,33110.18834973548
baseline,33180.188747937886
baseline,33180.188747937886
baseline,33160.18863416577
baseline,33120.18840662154
baseline,33150.18857727971
baseline,33140.188520393654
baseline,33120.18840662154
baseline,33110.18834973548
baseline,33160.18863416577
baseline,33140.188520393654
baseline,33170.18869105182
baseline,33140.188520393654
baseline,33180.188747937886
baseline,33180.188747937886
baseline,33160.18863416577
baseline,33190.18880482394
baseline,33170.18869105182
baseline,33120.18840662154
baseline,33170.18869105182
baseline,33150.18857727971
baseline,33190.18880482394
baseline,33230.189032368165
baseline,33210.18891859605
baseline,33160.18863416577
baseline,33170.18869105182
baseline,34770.19779282098
baseline,33190.18880482394
baseline,33200.18886171
baseline,38070.21656521987
baseline,33180.188747937886
baseline,33130.1884635076
baseline,33160.18863416577
baseline,33130.1884635076
baseline,33150.18857727971
baseline,33110.18834973548
baseline,33190.18880482394
baseline,33180.188747937886
baseline,33190.18880482394
baseline,33120.18840662154
baseline,33180.188747937886
baseline,33230.189032368165
baseline,33150.18857727971
baseline,33210.18891859605
baseline,33210.18891859605
baseline,37520.213436486716
baseline,33150.18857727971
baseline,33120.18840662154
baseline,33220.18897548211
baseline,33170.18869105182
baseline,33200.18886171
baseline,33190.18880482394
baseline,33180.188747937886
baseline,33180.188747937886
baseline,33210.18891859605
baseline,33140.188520393654
baseline,33200.18886171
baseline,33160.18863416577
baseline,33190.18880482394
baseline,33380.18988565903
baseline,33540.190795835944
baseline,37940.215825701125
baseline,33630.191307810455
baseline,33370.18982877297
baseline,33230.189032368165
baseline,33260.18920302634
baseline,33150.18857727971
baseline,33240.18908925423
baseline,33160.18863416577
baseline,33140.188520393654
baseline,33170.18869105182
baseline,33150.18857727971
baseline,33160.18863416577
baseline,33150.18857727971
baseline,33120.18840662154
baseline,33240.18908925423
baseline,33210.18891859605
baseline,33160.18863416577
baseline,37360.212526309806
baseline,33190.18880482394
baseline,33200.18886171
baseline,33160.18863416577
baseline,33110.18834973548
baseline,33210.18891859605
baseline,33230.189032368165
baseline,33180.188747937886
baseline,33180.188747937886
baseline,33220.18897548211
baseline,33230.189032368165
baseline,33220.18897548211
baseline,33320.189544342684
baseline,33250.189146140285
baseline,38090.21667899198
baseline,33240.18908925423
baseline,33200.18886171
baseline,33180.188747937886
baseline,33210.18891859605
baseline,33260.18920302634
baseline,33240.18908925423
baseline,33200.18886171
baseline,33250.189146140285
baseline,33230.189032368165
baseline,33170.18869105182
baseline,33250.189146140285
baseline,33170.18869105182
baseline,33240.18908925423
baseline,33190.18880482394
baseline,33210.18891859605
baseline,33280.18931679845
baseline,33170.18869105182
baseline,33200.18886171
baseline,33180.188747937886
baseline,33250.189146140285
baseline,33240.18908925423
baseline,33210.18891859605
baseline,33200.18886171
baseline,33190.18880482394
baseline,33200.18886171
baseline,33220.18897548211
baseline,33330.18960122874
baseline,33240.18908925423
baseline,33200.18886171
baseline,33280.18931679845
baseline,33280.18931679845
baseline,33280.18931679845
baseline,33190.18880482394
baseline,37600.21389157518
baseline,33350.18971500086
baseline,33310.18948745663
baseline,33210.18891859605
baseline,33150.18857727971
baseline,33190.18880482394
baseline,33150.18857727971
baseline,33210.18891859605
baseline,33150.18857727971
baseline,33150.18857727971
baseline,33190.18880482394
baseline,33230.189032368165
baseline,33170.18869105182
baseline,33240.18908925423
baseline,33260.18920302634
baseline,37670.21428977758
baseline,33220.18897548211
baseline,33180.188747937886
baseline,33220.18897548211
baseline,33130.1884635076
baseline,33660.19147846863
baseline,33230.189032368165
baseline,33310.18948745663
baseline,33230.189032368165
baseline,33300.18943057057
baseline,33230.189032368165
baseline,33490.19051140566
baseline,33310.18948745663
baseline,35850.203936515165
baseline,33350.18971500086
baseline,38360.21821491553
baseline,33350.18971500086
baseline,33280.18931679845
baseline,33260.18920302634
baseline,33200.18886171
baseline,33270.1892599124
baseline,33260.18920302634
baseline,33460.19034074748
baseline,33220.18897548211
baseline,33290.18937368451
baseline,33280.18931679845
baseline,33320.189544342684
baseline,33240.18908925423
baseline,33190.18880482394
baseline,33210.18891859605
baseline,33220.18897548211
baseline,33170.18869105182
baseline,33160.18863416577
baseline,33220.18897548211
baseline,33250.189146140285
baseline,33220.18897548211
baseline,33210.18891859605
baseline,33210.18891859605
baseline,33210.18891859605
baseline,33200.18886171
baseline,33220.18897548211
baseline,33230.189032368165
baseline,33320.189544342684
baseline,33280.18931679845
baseline,33290.18937368451
baseline,33240.18908925423
baseline,33320.189544342684
baseline,33310.18948745663
baseline,33350.18971500086
baseline,33290.18937368451
baseline,33210.18891859605
baseline,33250.189146140285
baseline,33330.18960122874
baseline,33230.189032368165
baseline,37500.213322714604
baseline,33210.18891859605
baseline,33190.18880482394
baseline,33210.18891859605
baseline,33220.18897548211
baseline,33190.18880482394
baseline,33240.18908925423
baseline,33220.18897548211
baseline,33260.18920302634
baseline,33360.189771886915
baseline,33290.18937368451
baseline,33330.18960122874
baseline,33290.18937368451
baseline,33250.189146140285
baseline,33250.189146140285
baseline,33300.18943057057
baseline,33320.189544342684
baseline,33260.18920302634
baseline,33300.18943057057
baseline,33230.189032368165
baseline,33330.18960122874
baseline,33200.18886171
baseline,33200.18886171
baseline,33180.188747937886
baseline,33190.18880482394
baseline,33210.18891859605
baseline,33210.18891859605
baseline,33250.189146140285
baseline,33200.18886171
baseline,34800.19796347916
baseline,33210.18891859605
baseline,33240.18908925423
baseline,33220.18897548211
baseline,33190.18880482394
baseline,33160.18863416577
baseline,33250.189146140285
baseline,33160.18863416577
baseline,33190.18880482394
baseline,33170.18869105182
baseline,33160.18863416577
baseline,33200.18886171
baseline,33240.18908925423
baseline,33220.18897548211
baseline,33210.18891859605
baseline,33170.18869105182
baseline,33230.189032368165
baseline,33210.18891859605
baseline,33190.18880482394
baseline,37480.21320894249
baseline,33220.18897548211
baseline,33210.18891859605
baseline,33180.188747937886
baseline,33180.188747937886
baseline,33200.18886171
baseline,33170.18869105182
baseline,33160.18863416577
baseline,33180.188747937886
baseline,33190.18880482394
baseline,33210.18891859605
baseline,33220.18897548211
baseline,33230.189032368165
baseline,33120.18840662154
baseline,33170.18869105182
baseline,33160.18863416577
baseline,33180.188747937886
baseline,33240.18908925423
baseline,33180.188747937886
baseline,33200.18886171
baseline,33220.18897548211
baseline,33190.18880482394
baseline,37550.21360714489
baseline,33170.18869105182
baseline,33220.18897548211
baseline,33150.18857727971
baseline,33210.18891859605
baseline,33150.18857727971
baseline,33170.18869105182
baseline,33240.18908925423
baseline,33240.18908925423
baseline,33220.18897548211
baseline,33230.189032368165
baseline,33330.18960122874
baseline,33230.189032368165
baseline,33200.18886171
baseline,33220.18897548211
baseline,33210.18891859605
baseline,33210.18891859605
baseline,33240.18908925423
baseline,37490.21326582855
baseline,33190.18880482394
baseline,33220.18897548211
baseline,33240.18908925423
baseline,33140.188520393654
baseline,33200.18886171
baseline,33280.18931679845
baseline,33230.189032368165
baseline,33220.18897548211
baseline,33180.188747937886
baseline,33200.18886171
baseline,33190.18880482394
baseline,34780.19784970704
baseline,33220.18897548211
baseline,33210.18891859605
baseline,33200.18886171
baseline,33180.188747937886
baseline,33260.18920302634
baseline,33170.18869105182
baseline,33180.188747937886
baseline,33170.18869105182
baseline,33230.189032368165
baseline,33150.18857727971
baseline,33180.188747937886
baseline,33200.18886171
baseline,33270.1892599124
baseline,33180.188747937886
baseline,40550.23067296206
baseline,33140.188520393654
baseline,33200.18886171
baseline,33130.1884635076
baseline,33200.18886171
baseline,33160.18863416577
baseline,33220.18897548211
baseline,33170.18869105182
baseline,33100.18829284942
baseline,33180.188747937886
baseline,33140.188520393654
baseline,33100.18829284942
baseline,33220.18897548211
baseline,33140.188520393654
baseline,33210.18891859605
baseline,33170.18869105182
baseline,33260.18920302634
baseline,33160.18863416577
baseline,38390.2183855737
baseline,33180.188747937886
baseline,33180.188747937886
baseline,33170.18869105182
baseline,33250.189146140285
baseline,33250.189146140285
baseline,33170.18869105182
baseline,33220.18897548211
baseline,33140.188520393654
baseline,33190.18880482394
baseline,33180.188747937886
baseline,33230.189032368165
baseline,33250.189146140285
baseline,33230.189032368165
baseline,33170.18869105182
baseline,33170.18869105182
baseline,33170.18869105182
baseline,33170.18869105182
baseline,33200.18886171
baseline,33230.189032368165
baseline,33200.18886171
baseline,33230.189032368165
baseline,33250.189146140285
baseline,33210.18891859605
baseline,33210.18891859605
baseline,35070.1994994027
baseline,33170.18869105182
baseline,33220.18897548211
baseline,33160.18863416577
baseline,33190.18880482394
baseline,33210.18891859605
baseline,33390.18994254508
baseline,33550.190852722
baseline,33790.19221798737
baseline,33890.19278684795
baseline,33960.193185050346
baseline,34000.19341259458
baseline,33550.190852722
baseline,33270.1892599124
baseline,33260.18920302634
baseline,33270.1892599124
baseline,33240.18908925423
baseline,33200.18886171
baseline,33220.18897548211
baseline,33200.18886171
baseline,37500.213322714604
baseline,33200.18886171
baseline,33240.18908925423
baseline,33270.1892599124
baseline,33180.188747937886
baseline,33180.188747937886
baseline,33240.18908925423
baseline,33170.18869105182
baseline,33200.18886171
baseline,33240.18908925423
baseline,33250.189146140285
baseline,33240.18908925423
baseline,33190.18880482394
baseline,33170.18869105182
baseline,33250.189146140285
baseline,33200.18886171
baseline,33210.18891859605
baseline,33210.18891859605
baseline,33240.18908925423
baseline,33250.189146140285
baseline,33240.18908925423
baseline,33180.188747937886
baseline,33240.18908925423
baseline,33210.18891859605
baseline,33280.18931679845
baseline,33210.18891859605
baseline,33220.18897548211
baseline,33230.189032368165
baseline,33160.18863416577
baseline,33180.188747937886
baseline,33240.18908925423
baseline,37500.213322714604
baseline,33190.18880482394
baseline,33180.188747937886
baseline,33260.18920302634
baseline,33260.18920302634
baseline,33200.18886171
baseline,33230.189032368165
baseline,33180.188747937886
baseline,33250.189146140285
baseline,33210.18891859605
baseline,33250.189146140285
baseline,33160.18863416577
baseline,33230.189032368165
baseline,33210.18891859605
baseline,33240.18908925423
baseline,33300.18943057057
baseline,33280.18931679845
baseline,33300.18943057057
baseline,38180.2171909665
baseline,33280.18931679845
baseline,33300.18943057057
baseline,33340.189658114796
baseline,33340.189658114796
baseline,33380.18988565903
baseline,33340.189658114796
baseline,33330.18960122874
baseline,33290.18937368451
baseline,33320.189544342684
baseline,33310.18948745663
baseline,33360.189771886915
baseline,33470.190397633545
baseline,38060.21650833381
baseline,33850.192559303716
baseline,34050.193697024864
baseline,34000.19341259458
baseline,34060.19375391092
baseline,34020.19352636669
baseline,33850.192559303716
baseline,33510.19062517777
baseline,33330.18960122874
baseline,33260.18920302634
baseline,33260.18920302634
baseline,33300.18943057057
baseline,33350.18971500086
