config,group,value,attacker,attacker_threshold_ns,n_null,fpr,fpr_ci_lo,fpr_ci_hi,incon_null,incon_null_ci_lo,incon_null_ci_hi,n_pos_1sig_shift,detect_1sig_shift,detect_1sig_shift_ci_lo,detect_1sig_shift_ci_hi,n_pos_1sig_tail,detect_1sig_tail,detect_1sig_tail_ci_lo,detect_1sig_tail_ci_hi,n_pos_2sig_shift,detect_2sig_shift,detect_2sig_shift_ci_lo,detect_2sig_shift_ci_hi
Baseline (defaults),—,π₀=0.62 α=.05 β=.95 kl=0.7 ν_ℓ=8 ν=4,AdjacentNetwork,100.0,880,0.0,0.0,0.0043464801837795365,0.0,0.0,0.0043464801837795365,480,0.0,0.0,0.00793978855890027,480,0.0,0.0,0.00793978855890027,480,0.0,0.0,0.00793978855890027
Baseline (defaults),—,π₀=0.62 α=.05 β=.95 kl=0.7 ν_ℓ=8 ν=4,SharedHardware,0.4,880,0.0,0.0,0.0043464801837795365,0.6761363636363636,0.6445104458640434,0.706231134980307,480,1.0,0.9920602114410997,1.0,480,0.8979166666666667,0.8675955337695135,0.9219190511690284,480,1.0,0.9920602114410997,1.0
π₀ = 0.50,π₀,0.50,AdjacentNetwork,100.0,880,0.0,0.0,0.0043464801837795365,0.0,0.0,0.0043464801837795365,480,0.0,0.0,0.00793978855890027,480,0.0,0.0,0.00793978855890027,480,0.0,0.0,0.00793978855890027
π₀ = 0.50,π₀,0.50,SharedHardware,0.4,880,0.0,0.0,0.0043464801837795365,0.6545454545454545,0.6225167705870014,0.6852306809925577,480,1.0,0.9920602114410997,1.0,480,0.7916666666666666,0.7530896686536218,0.8256121213536863,480,1.0,0.9920602114410997,1.0
π₀ = 0.75,π₀,0.75,AdjacentNetwork,100.0,880,0.0,0.0,0.0043464801837795365,0.0,0.0,0.0043464801837795365,480,0.0,0.0,0.00793978855890027,480,0.0,0.0,0.00793978855890027,480,0.0,0.0,0.00793978855890027
π₀ = 0.75,π₀,0.75,SharedHardware,0.4,880,0.0011363636363636363,0.00020061909619106984,0.006408709996261695,0.6863636363636364,0.6549543160026907,0.7161529050197188,480,1.0,0.9920602114410997,1.0,480,0.9333333333333333,0.9074012300031347,0.9523842865791519,480,1.0,0.9920602114410997,1.0
π₀ = 0.85 (stress),π₀,0.85,AdjacentNetwork,100.0,880,0.0,0.0,0.0043464801837795365,0.0,0.0,0.0043464801837795365,480,0.0,0.0,0.00793978855890027,480,0.0,0.0,0.00793978855890027,480,0.0,0.0,0.00793978855890027
π₀ = 0.85 (stress),π₀,0.85,SharedHardware,0.4,880,0.003409090909090909,0.0011600403006215365,0.009974986609177686,0.6840909090909091,0.65263198792507,0.7139495352799928,480,1.0,0.9920602114410997,1.0,480,0.9541666666666667,0.9315809256674887,0.9695404330581769,480,1.0,0.9920602114410997,1.0
α/1-β = 0.01/0.99,α / 1-β,0.01 / 0.99,AdjacentNetwork,100.0,880,0.0,0.0,0.0043464801837795365,0.0,0.0,0.0043464801837795365,480,0.0,0.0,0.00793978855890027,480,0.0,0.0,0.00793978855890027,480,0.0,0.0,0.00793978855890027
α/1-β = 0.01/0.99,α / 1-β,0.01 / 0.99,SharedHardware,0.4,880,0.0,0.0,0.0043464801837795365,0.803409090909091,0.7758560974808283,0.8283245611349238,480,1.0,0.9920602114410997,1.0,480,0.5979166666666667,0.5534422331705291,0.6408362249033528,480,1.0,0.9920602114410997,1.0
α/1-β = 0.10/0.90,α / 1-β,0.10 / 0.90,AdjacentNetwork,100.0,880,0.0,0.0,0.0043464801837795365,0.0,0.0,0.0043464801837795365,480,0.0,0.0,0.00793978855890027,480,0.0,0.0,0.00793978855890027,480,0.0,0.0,0.00793978855890027
