effect_mult,effect_ns,trials,detections,detection_rate,ci_low,ci_high,median_samples,median_time_ms
0.0000,0.0,50,0,0.0000,0.0000,0.0711,2000,603
1.0000,100.0,50,0,0.0000,0.0000,0.0711,2000,600
2.0000,200.0,50,0,0.0000,0.0000,0.0711,2000,602
