trial,test_name,test_type,injected_effect_ns,attacker_model,decision,leak_probability,shift_ns,tail_ns,ci_low_ns,ci_high_ns,samples_per_class,elapsed_ms
89,fpr_quick_fixed_vs_fixed,fpr,0,unknown,inconclusive,0.813000,-0.21,-0.23,0.00,1.49,3500,
90,fpr_quick_fixed_vs_fixed,fpr,0,unknown,inconclusive,0.793000,0.19,-0.27,0.00,1.40,5500,
91,fpr_quick_fixed_vs_fixed,fpr,0,unknown,fail,0.991000,1.32,0.16,0.19,2.47,3500,
92,fpr_quick_fixed_vs_fixed,fpr,0,unknown,fail,0.955000,-0.90,-0.34,0.00,2.03,3500,
93,fpr_quick_fixed_vs_fixed,fpr,0,unknown,inconclusive,0.750000,-0.01,0.15,0.00,1.18,5500,
94,fpr_quick_fixed_vs_fixed,fpr,0,unknown,inconclusive,0.812000,0.21,-0.48,0.00,1.45,5500,
95,fpr_quick_fixed_vs_fixed,fpr,0,unknown,inconclusive,0.939000,0.45,-0.76,0.00,1.97,5500,
96,fpr_quick_fixed_vs_fixed,fpr,0,unknown,inconclusive,0.868000,0.18,-0.71,0.00,1.67,5500,
97,fpr_quick_fixed_vs_fixed,fpr,0,unknown,inconclusive,0.833000,-0.05,-0.74,0.00,1.74,5500,
98,fpr_quick_fixed_vs_fixed,fpr,0,unknown,inconclusive,0.757000,0.01,-0.13,0.00,1.21,5500,
99,fpr_quick_fixed_vs_fixed,fpr,0,unknown,inconclusive,0.913000,0.61,0.04,0.00,1.64,5500,
