trial,test_name,test_type,injected_effect_ns,attacker_model,decision,leak_probability,shift_ns,tail_ns,ci_low_ns,ci_high_ns,samples_per_class,elapsed_ms
83,bayesian_calibration_quick_adjacent_network_2.0x,unknown,200,AdjacentNetwork,fail,1.000000,-233.82,-18.42,227.95,241.14,3500,
84,bayesian_calibration_quick_adjacent_network_2.0x,unknown,200,AdjacentNetwork,fail,1.000000,-208.50,-13.36,205.55,212.31,3500,
85,bayesian_calibration_quick_adjacent_network_2.0x,unknown,200,AdjacentNetwork,fail,1.000000,-222.07,-17.13,219.14,226.32,3500,
86,bayesian_calibration_quick_adjacent_network_2.0x,unknown,200,AdjacentNetwork,fail,1.000000,-226.86,-17.12,223.68,231.33,3500,
87,bayesian_calibration_quick_adjacent_network_2.0x,unknown,200,AdjacentNetwork,fail,1.000000,-218.51,-19.86,213.74,225.09,3500,
88,bayesian_calibration_quick_adjacent_network_2.0x,unknown,200,AdjacentNetwork,fail,1.000000,-232.49,-17.79,228.17,238.17,3500,
89,bayesian_calibration_quick_adjacent_network_2.0x,unknown,200,AdjacentNetwork,fail,1.000000,-227.52,-11.03,221.91,233.66,3500,
90,bayesian_calibration_quick_adjacent_network_2.0x,unknown,200,AdjacentNetwork,fail,1.000000,-228.30,-20.78,225.71,232.78,3500,
91,bayesian_calibration_quick_adjacent_network_2.0x,unknown,200,AdjacentNetwork,fail,1.000000,-223.81,-26.25,221.02,229.68,3500,
92,bayesian_calibration_quick_adjacent_network_2.0x,unknown,200,AdjacentNetwork,fail,1.000000,-218.36,-18.89,214.69,223.67,3500,
93,bayesian_calibration_quick_adjacent_network_2.0x,unknown,200,AdjacentNetwork,fail,1.000000,-224.90,-18.37,221.53,229.77,3500,
94,bayesian_calibration_quick_adjacent_network_2.0x,unknown,200,AdjacentNetwork,fail,1.000000,-227.03,-15.95,223.21,231.97,3500,
95,bayesian_calibration_quick_adjacent_network_2.0x,unknown,200,AdjacentNetwork,fail,1.000000,-218.52,-26.03,216.08,224.05,3500,
96,bayesian_calibration_quick_adjacent_network_2.0x,unknown,200,AdjacentNetwork,fail,1.000000,-236.10,-32.72,229.68,247.04,3500,
97,bayesian_calibration_quick_adjacent_network_2.0x,unknown,200,AdjacentNetwork,fail,1.000000,-229.67,-35.79,228.25,236.64,3500,
98,bayesian_calibration_quick_adjacent_network_2.0x,unknown,200,AdjacentNetwork,fail,1.000000,-219.56,-34.13,216.34,228.06,3500,
99,bayesian_calibration_quick_adjacent_network_2.0x,unknown,200,AdjacentNetwork,fail,1.000000,-223.82,-22.37,221.82,228.06,3500,
100,bayesian_calibration_quick_adjacent_network_2.0x,unknown,200,AdjacentNetwork,fail,1.000000,-215.95,-34.52,213.32,224.07,3500,
101,bayesian_calibration_quick_adjacent_network_2.0x,unknown,200,AdjacentNetwork,fail,1.000000,-220.00,-22.77,217.62,224.73,3500,
102,bayesian_calibration_quick_adjacent_network_2.0x,unknown,200,AdjacentNetwork,fail,1.000000,-210.77,-20.96,208.56,215.06,3500,
103,bayesian_calibration_quick_adjacent_network_2.0x,unknown,200,AdjacentNetwork,fail,1.000000,-213.85,-24.71,211.43,219.13,3500,
104,bayesian_calibration_quick_adjacent_network_2.0x,unknown,200,AdjacentNetwork,fail,1.000000,-223.73,-22.07,221.15,228.49,3500,
105,bayesian_calibration_quick_adjacent_network_2.0x,unknown,200,AdjacentNetwork,fail,1.000000,-216.07,-24.81,213.96,221.03,3500,
106,bayesian_calibration_quick_adjacent_network_2.0x,unknown,200,AdjacentNetwork,fail,1.000000,-221.80,-22.66,219.40,226.50,3500,
107,bayesian_calibration_quick_adjacent_network_2.0x,unknown,200,AdjacentNetwork,fail,1.000000,-221.46,-20.53,217.97,226.84,3500,
108,bayesian_calibration_quick_adjacent_network_2.0x,unknown,200,AdjacentNetwork,fail,1.000000,-224.28,-19.40,221.55,228.69,3500,
109,bayesian_calibration_quick_adjacent_network_2.0x,unknown,200,AdjacentNetwork,fail,1.000000,-216.90,-22.89,214.57,221.63,3500,
