trial,test_name,test_type,injected_effect_ns,attacker_model,decision,leak_probability,shift_ns,tail_ns,ci_low_ns,ci_high_ns,samples_per_class,elapsed_ms
67,power_quick_2x_theta_research,power,0,unknown,fail,1.000000,-2229.34,-144.70,2213.66,2254.40,3500,
68,power_quick_2x_theta_research,power,0,unknown,fail,1.000000,-2193.85,-133.23,2182.21,2213.58,3500,
69,power_quick_2x_theta_research,power,0,unknown,fail,1.000000,-14.37,0.31,13.90,14.84,3500,
70,power_quick_2x_theta_research,power,0,unknown,fail,1.000000,-17.47,-1.43,17.02,18.04,3500,
71,power_quick_2x_theta_research,power,0,unknown,fail,1.000000,-15.29,0.10,14.80,15.79,3500,
72,power_quick_2x_theta_research,power,0,unknown,fail,1.000000,-32.56,5.01,32.48,33.41,3500,
73,power_quick_2x_theta_research,power,0,unknown,fail,1.000000,-28.53,-0.73,28.06,29.02,3500,
74,power_quick_2x_theta_research,power,0,unknown,fail,1.000000,-23.34,1.23,22.87,23.87,3500,
75,power_quick_2x_theta_research,power,0,unknown,fail,1.000000,-20.28,3.50,20.12,21.04,3500,
76,power_quick_2x_theta_research,power,0,unknown,fail,1.000000,-33.67,2.97,33.31,34.29,3500,
77,power_quick_2x_theta_research,power,0,unknown,fail,1.000000,-14.49,-1.24,14.06,15.02,3500,
78,power_quick_2x_theta_research,power,0,unknown,fail,1.000000,-17.43,2.61,17.11,18.14,3500,
79,power_quick_2x_theta_research,power,0,unknown,fail,1.000000,-21.21,5.06,21.31,22.29,3500,
80,power_quick_2x_theta_research,power,0,unknown,fail,1.000000,-2243.34,-149.17,2231.81,2264.78,3500,
81,power_quick_2x_theta_research,power,0,unknown,fail,1.000000,-29.91,4.38,29.74,30.73,3500,
82,power_quick_2x_theta_research,power,0,unknown,fail,1.000000,-36.67,2.08,36.24,37.21,3500,
83,power_quick_2x_theta_research,power,0,unknown,fail,1.000000,-59.40,11.66,60.08,60.98,3500,
84,power_quick_2x_theta_research,power,0,unknown,fail,1.000000,-30.43,1.36,29.98,30.94,3500,
85,power_quick_2x_theta_research,power,0,unknown,fail,1.000000,-29.61,5.43,29.63,30.59,3500,
86,power_quick_2x_theta_research,power,0,unknown,fail,1.000000,-29.67,5.61,29.72,30.68,3500,
