trial,test_name,test_type,injected_effect_ns,attacker_model,decision,leak_probability,shift_ns,tail_ns,ci_low_ns,ci_high_ns,samples_per_class,elapsed_ms
58,power_iteration_adjacent_network,power,0,unknown,fail,1.000000,-2659.04,-115.56,2654.53,2668.58,3500,
59,power_iteration_adjacent_network,power,0,unknown,fail,1.000000,-2639.21,-116.40,2640.30,2643.26,3500,
60,power_iteration_adjacent_network,power,0,unknown,fail,1.000000,-508.05,-37.28,507.71,511.12,3500,
61,power_iteration_adjacent_network,power,0,unknown,fail,1.000000,-490.36,-15.19,487.72,493.47,3500,
62,power_iteration_adjacent_network,power,0,unknown,fail,1.000000,-509.46,-31.84,508.17,512.74,3500,
63,power_iteration_adjacent_network,power,0,unknown,fail,1.000000,-499.14,-13.88,497.29,501.38,3500,
64,power_iteration_adjacent_network,power,0,unknown,fail,1.000000,-519.15,-21.26,517.25,521.93,3500,
65,power_iteration_adjacent_network,power,0,unknown,fail,1.000000,-500.13,-19.41,498.44,502.58,3500,
66,power_iteration_adjacent_network,power,0,unknown,fail,1.000000,-500.12,-24.42,498.22,503.21,3500,
67,power_iteration_adjacent_network,power,0,unknown,fail,1.000000,-505.12,-47.34,504.91,509.76,3500,
68,power_iteration_adjacent_network,power,0,unknown,fail,1.000000,-498.44,-37.60,496.85,502.86,3500,
69,power_iteration_adjacent_network,power,0,unknown,fail,1.000000,-473.52,-49.40,473.87,478.32,3500,
70,power_iteration_adjacent_network,power,0,unknown,fail,1.000000,-504.53,-34.40,503.54,507.86,3500,
71,power_iteration_adjacent_network,power,0,unknown,fail,1.000000,-469.69,-15.43,466.89,473.00,3500,
72,power_iteration_adjacent_network,power,0,unknown,fail,1.000000,-2617.59,-156.17,2614.14,2630.35,3500,
73,power_iteration_adjacent_network,power,0,unknown,fail,1.000000,-507.98,-27.27,506.92,510.50,3500,
74,power_iteration_adjacent_network,power,0,unknown,fail,1.000000,-496.31,-31.65,495.62,499.02,3500,
75,power_iteration_adjacent_network,power,0,unknown,fail,1.000000,-508.57,-31.36,505.63,513.45,3500,
76,power_iteration_adjacent_network,power,0,unknown,fail,1.000000,-483.60,-25.11,482.83,485.68,3500,
77,power_iteration_adjacent_network,power,0,unknown,fail,1.000000,-495.38,-73.65,497.98,503.67,3500,
78,power_iteration_adjacent_network,power,0,unknown,fail,1.000000,-482.27,-44.29,482.57,486.03,3500,
79,power_iteration_adjacent_network,power,0,unknown,fail,1.000000,-498.25,-58.63,498.80,504.57,3500,
80,power_iteration_adjacent_network,power,0,unknown,fail,1.000000,-2666.75,-64.07,2663.45,2671.58,3500,
81,power_iteration_adjacent_network,power,0,unknown,fail,1.000000,-492.95,-33.88,491.90,496.32,3500,
82,power_iteration_adjacent_network,power,0,unknown,fail,1.000000,-505.50,-28.73,504.25,508.38,3500,
83,power_iteration_adjacent_network,power,0,unknown,fail,1.000000,-500.06,-32.26,498.59,503.60,3500,
84,power_iteration_adjacent_network,power,0,unknown,fail,1.000000,-500.09,-29.60,499.56,502.38,3500,
85,power_iteration_adjacent_network,power,0,unknown,fail,1.000000,-544.74,-55.74,543.69,551.47,3500,
86,power_iteration_adjacent_network,power,0,unknown,fail,1.000000,-496.87,-30.75,494.79,500.85,3500,
87,power_iteration_adjacent_network,power,0,unknown,fail,1.000000,-508.30,-27.68,506.22,511.88,3500,
88,power_iteration_adjacent_network,power,0,unknown,fail,1.000000,-502.19,-26.98,500.73,505.10,3500,
89,power_iteration_adjacent_network,power,0,unknown,fail,1.000000,-507.16,-29.07,505.86,510.13,3500,
90,power_iteration_adjacent_network,power,0,unknown,fail,1.000000,-528.05,-43.65,526.00,533.70,3500,
91,power_iteration_adjacent_network,power,0,unknown,fail,1.000000,-534.67,-53.65,533.76,540.95,3500,
92,power_iteration_adjacent_network,power,0,unknown,fail,1.000000,-484.03,-23.98,482.53,486.71,3500,
93,power_iteration_adjacent_network,power,0,unknown,fail,1.000000,-483.69,-56.85,483.98,490.05,3500,
94,power_iteration_adjacent_network,power,0,unknown,fail,1.000000,-480.83,-49.68,480.33,486.46,3500,
95,power_iteration_adjacent_network,power,0,unknown,fail,1.000000,-501.26,-31.99,500.12,504.44,3500,
96,power_iteration_adjacent_network,power,0,unknown,fail,1.000000,-494.24,-28.06,492.96,497.12,3500,
97,power_iteration_adjacent_network,power,0,unknown,fail,1.000000,-509.49,-54.76,510.36,514.49,3500,
98,power_iteration_adjacent_network,power,0,unknown,fail,1.000000,-509.88,-15.63,507.36,512.89,3500,
99,power_iteration_adjacent_network,power,0,unknown,fail,1.000000,-491.84,-28.06,490.57,494.71,3500,
