trial,test_name,test_type,injected_effect_ns,attacker_model,decision,leak_probability,shift_ns,tail_ns,ci_low_ns,ci_high_ns,samples_per_class,elapsed_ms
69,estimation_accuracy_quick_adjacent_network_50ns,unknown,50,AdjacentNetwork,fail,1.000000,-101.73,-30.42,101.86,110.50,3500,
70,estimation_accuracy_quick_adjacent_network_50ns,unknown,50,AdjacentNetwork,fail,1.000000,-101.33,-23.34,100.07,107.90,4500,
71,estimation_accuracy_quick_adjacent_network_50ns,unknown,50,AdjacentNetwork,fail,1.000000,-103.73,-17.40,101.80,108.55,3500,
72,estimation_accuracy_quick_adjacent_network_50ns,unknown,50,AdjacentNetwork,fail,1.000000,-110.46,-27.41,107.97,119.65,3500,
73,estimation_accuracy_quick_adjacent_network_50ns,unknown,50,AdjacentNetwork,pass,0.002000,-91.32,0.68,85.09,97.55,3500,
74,estimation_accuracy_quick_adjacent_network_50ns,unknown,50,AdjacentNetwork,inconclusive,0.182000,-96.06,-1.03,88.99,103.14,5500,
75,estimation_accuracy_quick_adjacent_network_50ns,unknown,50,AdjacentNetwork,pass,0.020000,-90.23,-10.96,84.86,96.92,3500,
76,estimation_accuracy_quick_adjacent_network_50ns,unknown,50,AdjacentNetwork,fail,1.000000,-98.95,-43.83,107.71,108.73,3500,
77,estimation_accuracy_quick_adjacent_network_50ns,unknown,50,AdjacentNetwork,fail,1.000000,-102.43,-26.81,100.06,111.70,3500,
78,estimation_accuracy_quick_adjacent_network_50ns,unknown,50,AdjacentNetwork,fail,1.000000,-114.88,-30.88,115.11,122.80,3500,
79,estimation_accuracy_quick_adjacent_network_50ns,unknown,50,AdjacentNetwork,fail,1.000000,-107.75,-37.50,109.64,118.54,3500,
80,estimation_accuracy_quick_adjacent_network_50ns,unknown,50,AdjacentNetwork,fail,0.973000,-100.82,-9.37,95.48,107.02,4500,
81,estimation_accuracy_quick_adjacent_network_50ns,unknown,50,AdjacentNetwork,fail,1.000000,-104.29,-24.26,102.79,111.37,3500,
82,estimation_accuracy_quick_adjacent_network_50ns,unknown,50,AdjacentNetwork,fail,1.000000,-104.50,-18.88,99.27,113.12,3500,
83,estimation_accuracy_quick_adjacent_network_50ns,unknown,50,AdjacentNetwork,fail,0.988000,-96.77,-24.59,92.42,107.27,3500,
84,estimation_accuracy_quick_adjacent_network_50ns,unknown,50,AdjacentNetwork,pass,0.000000,-83.94,-1.73,83.13,84.78,3500,
85,estimation_accuracy_quick_adjacent_network_50ns,unknown,50,AdjacentNetwork,fail,1.000000,-107.94,-35.06,112.94,114.05,3500,
86,estimation_accuracy_quick_adjacent_network_50ns,unknown,50,AdjacentNetwork,fail,1.000000,-104.66,-29.64,103.65,113.90,3500,
87,estimation_accuracy_quick_adjacent_network_50ns,unknown,50,AdjacentNetwork,fail,1.000000,-95.53,-19.95,93.13,102.06,3500,
88,estimation_accuracy_quick_adjacent_network_50ns,unknown,50,AdjacentNetwork,fail,1.000000,-105.59,-7.69,101.53,110.21,3500,
89,estimation_accuracy_quick_adjacent_network_50ns,unknown,50,AdjacentNetwork,fail,1.000000,-102.25,-19.63,99.67,108.57,3500,
90,estimation_accuracy_quick_adjacent_network_50ns,unknown,50,AdjacentNetwork,inconclusive,0.140000,-95.64,-0.01,88.64,102.64,5500,
91,estimation_accuracy_quick_adjacent_network_50ns,unknown,50,AdjacentNetwork,fail,1.000000,-101.78,-10.87,97.21,107.51,3500,
92,estimation_accuracy_quick_adjacent_network_50ns,unknown,50,AdjacentNetwork,fail,1.000000,-100.24,-31.69,97.78,112.48,3500,
93,estimation_accuracy_quick_adjacent_network_50ns,unknown,50,AdjacentNetwork,fail,1.000000,-103.19,-21.54,101.04,109.79,3500,
94,estimation_accuracy_quick_adjacent_network_50ns,unknown,50,AdjacentNetwork,inconclusive,0.076000,-95.59,1.35,89.84,101.35,5500,
95,estimation_accuracy_quick_adjacent_network_50ns,unknown,50,AdjacentNetwork,fail,1.000000,-106.92,-20.50,104.91,112.83,3500,
96,estimation_accuracy_quick_adjacent_network_50ns,unknown,50,AdjacentNetwork,pass,0.000000,-83.53,-0.65,82.32,84.74,3500,
97,estimation_accuracy_quick_adjacent_network_50ns,unknown,50,AdjacentNetwork,fail,1.000000,-116.62,-22.20,118.06,119.37,3500,
98,estimation_accuracy_quick_adjacent_network_50ns,unknown,50,AdjacentNetwork,fail,1.000000,-112.96,-37.53,113.88,124.17,3500,
99,estimation_accuracy_quick_adjacent_network_50ns,unknown,50,AdjacentNetwork,fail,1.000000,-101.18,-17.10,95.60,109.62,3500,
