trial,test_name,test_type,injected_effect_ns,attacker_model,decision,leak_probability,shift_ns,tail_ns,ci_low_ns,ci_high_ns,samples_per_class,elapsed_ms
0,bayesian_calibration_iteration_adjacent_network_1.0x,unknown,100,AdjacentNetwork,fail,1.000000,-137.57,-25.30,136.24,143.51,3500,
1,bayesian_calibration_iteration_adjacent_network_1.0x,unknown,100,AdjacentNetwork,fail,1.000000,-137.69,-23.83,134.32,145.14,3500,
2,bayesian_calibration_iteration_adjacent_network_1.0x,unknown,100,AdjacentNetwork,fail,1.000000,-148.50,-22.28,144.40,155.92,3500,
3,bayesian_calibration_iteration_adjacent_network_1.0x,unknown,100,AdjacentNetwork,fail,1.000000,-141.03,-11.62,133.33,149.68,3500,
4,bayesian_calibration_iteration_adjacent_network_1.0x,unknown,100,AdjacentNetwork,fail,1.000000,-141.31,-19.85,137.17,148.22,3500,
5,bayesian_calibration_iteration_adjacent_network_1.0x,unknown,100,AdjacentNetwork,fail,1.000000,-140.26,-17.15,134.94,147.66,3500,
6,bayesian_calibration_iteration_adjacent_network_1.0x,unknown,100,AdjacentNetwork,fail,1.000000,-144.39,-27.69,141.95,152.10,3500,
7,bayesian_calibration_iteration_adjacent_network_1.0x,unknown,100,AdjacentNetwork,fail,1.000000,-145.04,-27.04,142.48,152.61,3500,
8,bayesian_calibration_iteration_adjacent_network_1.0x,unknown,100,AdjacentNetwork,fail,1.000000,-144.73,-19.58,139.97,152.13,3500,
9,bayesian_calibration_iteration_adjacent_network_1.0x,unknown,100,AdjacentNetwork,fail,1.000000,-144.34,-51.24,152.56,153.76,3500,
10,bayesian_calibration_iteration_adjacent_network_1.0x,unknown,100,AdjacentNetwork,fail,1.000000,-144.05,-19.92,139.11,151.73,3500,
11,bayesian_calibration_iteration_adjacent_network_1.0x,unknown,100,AdjacentNetwork,fail,1.000000,-142.64,-16.35,136.45,150.69,3500,
12,bayesian_calibration_iteration_adjacent_network_1.0x,unknown,100,AdjacentNetwork,fail,1.000000,-143.93,-25.63,141.47,150.92,3500,
13,bayesian_calibration_iteration_adjacent_network_1.0x,unknown,100,AdjacentNetwork,fail,1.000000,-138.70,-14.62,132.98,145.96,3500,
14,bayesian_calibration_iteration_adjacent_network_1.0x,unknown,100,AdjacentNetwork,fail,1.000000,-138.41,-31.16,136.06,147.68,3500,
15,bayesian_calibration_iteration_adjacent_network_1.0x,unknown,100,AdjacentNetwork,fail,1.000000,-142.49,-17.03,139.22,147.79,3500,
16,bayesian_calibration_iteration_adjacent_network_1.0x,unknown,100,AdjacentNetwork,fail,1.000000,-145.14,-17.37,139.76,152.60,3500,
17,bayesian_calibration_iteration_adjacent_network_1.0x,unknown,100,AdjacentNetwork,fail,1.000000,-140.61,-14.67,135.79,146.95,3500,
18,bayesian_calibration_iteration_adjacent_network_1.0x,unknown,100,AdjacentNetwork,fail,1.000000,-144.78,-12.31,141.20,149.42,3500,
19,bayesian_calibration_iteration_adjacent_network_1.0x,unknown,100,AdjacentNetwork,fail,1.000000,-144.81,-13.57,140.57,150.33,3500,
20,bayesian_calibration_iteration_adjacent_network_1.0x,unknown,100,AdjacentNetwork,fail,1.000000,-141.51,-34.32,141.60,149.64,3500,
21,bayesian_calibration_iteration_adjacent_network_1.0x,unknown,100,AdjacentNetwork,fail,1.000000,-141.30,-18.17,136.50,148.42,3500,
22,bayesian_calibration_iteration_adjacent_network_1.0x,unknown,100,AdjacentNetwork,fail,1.000000,-138.08,-37.89,139.39,146.97,3500,
23,bayesian_calibration_iteration_adjacent_network_1.0x,unknown,100,AdjacentNetwork,fail,1.000000,-142.52,-15.56,137.70,149.04,3500,
24,bayesian_calibration_iteration_adjacent_network_1.0x,unknown,100,AdjacentNetwork,fail,1.000000,-140.13,-25.36,137.79,147.02,3500,
25,bayesian_calibration_iteration_adjacent_network_1.0x,unknown,100,AdjacentNetwork,fail,1.000000,-148.07,-25.97,143.55,157.10,3500,
26,bayesian_calibration_iteration_adjacent_network_1.0x,unknown,100,AdjacentNetwork,fail,1.000000,-143.25,-30.47,142.21,150.69,3500,
27,bayesian_calibration_iteration_adjacent_network_1.0x,unknown,100,AdjacentNetwork,fail,1.000000,-145.49,-11.29,142.08,149.78,3500,
28,bayesian_calibration_iteration_adjacent_network_1.0x,unknown,100,AdjacentNetwork,fail,1.000000,-143.23,-18.98,140.33,148.63,3500,
29,bayesian_calibration_iteration_adjacent_network_1.0x,unknown,100,AdjacentNetwork,fail,1.000000,-143.97,-33.39,143.63,151.96,3500,
30,bayesian_calibration_iteration_adjacent_network_1.0x,unknown,100,AdjacentNetwork,fail,1.000000,-144.99,-35.72,144.75,153.89,3500,
31,bayesian_calibration_iteration_adjacent_network_1.0x,unknown,100,AdjacentNetwork,fail,1.000000,-140.80,-27.19,139.70,147.11,3500,
32,bayesian_calibration_iteration_adjacent_network_1.0x,unknown,100,AdjacentNetwork,fail,1.000000,-142.60,-17.74,136.00,151.41,3500,
33,bayesian_calibration_iteration_adjacent_network_1.0x,unknown,100,AdjacentNetwork,fail,1.000000,-136.33,-25.50,131.40,145.99,3500,
34,bayesian_calibration_iteration_adjacent_network_1.0x,unknown,100,AdjacentNetwork,fail,1.000000,-142.92,-30.89,141.08,151.35,3500,
